filename,original_format,converted,final_class_id,status,error
train\labels\combined_dataset_train_00001.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00002.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00003.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00004.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00005.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00006.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00007.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00008.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00009.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00010.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00011.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00012.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00013.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00014.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00015.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00016.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00017.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00018.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00019.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00020.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00021.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00022.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00023.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00024.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00025.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00026.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00027.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00028.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00029.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00030.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00031.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00032.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00033.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00034.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00035.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00036.txt,segmentation,False,,error,line 1: segmentation coordinates must be normalized between 0 and 1
train\labels\combined_dataset_train_00037.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00038.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00039.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00040.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00041.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00042.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00043.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00044.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00045.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00046.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00047.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00048.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00049.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00050.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00051.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00052.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00053.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00054.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00055.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00056.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00057.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00058.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00059.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00060.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00061.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00062.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00063.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00064.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00065.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00066.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00067.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00068.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00069.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00070.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00071.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00072.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00073.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00074.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00075.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00076.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00077.txt,segmentation,True,1.0,ok,
train\labels\combined_dataset_train_00078.txt,segmentation,True,1.0,ok,
train\labels\combined_dataset_train_00079.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00080.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00081.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00082.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00083.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00084.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00085.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00086.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00087.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00088.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00089.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00090.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00091.txt,segmentation,True,1.0,ok,
train\labels\combined_dataset_train_00092.txt,segmentation,True,1.0,ok,
train\labels\combined_dataset_train_00093.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00094.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00095.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00096.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00097.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00098.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00099.txt,segmentation,True,1.0,ok,
train\labels\combined_dataset_train_00100.txt,segmentation,True,1.0,ok,
train\labels\combined_dataset_train_00101.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00102.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00103.txt,segmentation,True,1.0,ok,
train\labels\combined_dataset_train_00104.txt,segmentation,True,1.0,ok,
train\labels\combined_dataset_train_00105.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00106.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00107.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00108.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00109.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00110.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00111.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00112.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00113.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00114.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00115.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00116.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00117.txt,segmentation,True,1.0,ok,
train\labels\combined_dataset_train_00118.txt,segmentation,True,1.0,ok,
train\labels\combined_dataset_train_00119.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00120.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00121.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00122.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00123.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00124.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00125.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00126.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00127.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00128.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00129.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00130.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00131.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00132.txt,segmentation,True,0.0,ok,
train\labels\combined_dataset_train_00133.txt,segmentation,True,1.0,ok,
